10.1.222.10, -, 1/23/2009, 11:45:30, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 167, 13427, 200, 0, GET, /WebStartCDC_ADMIN.html, -,
10.1.222.10, -, 1/23/2009, 11:40:27, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 0, 167, 13427, 200, 0, GET, /WebStartCDC_ADMIN.html, -,
10.2.38.32, -, 1/23/2009, 11:37:43, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 0, 339, 0, 200, 64, GET, /WebStartCDC_PART.html, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 250, 330, 267, 200, 0, HEAD, /eCDSGUI38.jar, -,
10.1.222.10, -, 1/23/2009, 11:35:24, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 167, 13427, 200, 0, GET, /WebStartCDC_ADMIN.html, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 46, 330, 268, 200, 0, HEAD, /eCDSGUI29.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 250, 330, 267, 200, 0, HEAD, /eCDSGUI37.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 312, 330, 268, 200, 0, HEAD, /eCDSGUI21.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 296, 330, 267, 200, 0, HEAD, /eCDSGUI27.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 296, 332, 268, 200, 0, HEAD, /eCDSGUI20-4.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 140, 330, 267, 200, 0, HEAD, /eCDSGUI42.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 266, 200, 0, HEAD, /eCDSGUI35.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 266, 200, 0, HEAD, /eCDSGUI41.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 266, 200, 0, HEAD, /eCDSGUI30.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 267, 200, 0, HEAD, /eCDSGUI34.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 267, 200, 0, HEAD, /eCDSGUI32.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 31, 330, 267, 200, 0, HEAD, /eCDSGUI15.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 266, 200, 0, HEAD, /eCDSGUI33.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 31, 330, 268, 200, 0, HEAD, /eCDSGUI25.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 0, 330, 267, 200, 0, HEAD, /eCDSGUI31.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 31, 330, 268, 200, 0, HEAD, /eCDSGUI23.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 265, 200, 0, HEAD, /eCDSGUI12.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 332, 268, 200, 0, HEAD, /eCDSGUI20-2.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 15, 330, 268, 200, 0, HEAD, /eCDSGUI19.jar, -,
10.3.30.41, -, 1/23/2009, 11:34:49, W3SVC241260617, CDC_HO_SRV4, 10.1.136.27, 31, 332, 268, 200, 0, HEAD, /eCDSGUI20-3.jar, -,
